# id	left	top	right	bottom	texture_id
[SPRITES]

# WOOD
61100	112	128	128	144	30
61200	128	128	144	144	30
61300	144	128	160	144	30
62100	0	144	16	159	30
62200	16	144	32	159	30
62300	32	144	48	159	30


#CLOUD
51000	64	32	80	48	30

#PINK BLOCK
90001	64	16	80	32	30
90002	80	16	96	32	30
90003	96	16	112	32	30

#CYAN BLOCK
90004	128	64	144	80	30
90005	144	64	160	80	30
90006	160	64	176	80	30

#GREEN BLOCK
90007	0	48	16	64	30
90008	16	48	32	64	30
90009	32	48	48	64	30

#WHITE BLOCK
90010	160	48	176	64	30
90011	0	64	16	80	30
90012	16	64	32	80	30

#PIPE
20221	160	0	175	15	30
20222	0	16	15	31	30
20223	32	16	47	31	30
20224	48	16	63	31	30

#BRICK
51001	408	225	424	241	20
